,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0,0,0,6.78E-05,0.001924226,0.001290147,-17.58,31.439999,-40.379997,0.06464542,-0.21069619,9.866806
2,0,0,0,6.78E-05,-0.002962697,-0.001764179,-17.4,31.8,-40.26,0.045491222,-0.21309046,9.866806
3,4.75E-09,2.82E-08,2.81E-08,-0.000543059,9.16E-05,-0.000542448,-17.4,32.04,-40.2,0.090982445,-0.21787901,9.845258
4,0,0,0,-0.000543059,0.001924226,0.001290147,-17.82,31.74,-40.379997,0.071828246,-0.22027329,9.850046
5,0,0,0,-0.000543059,0.000702495,6.84E-05,-17.64,31.38,-40.62,0.0670397,-0.19154198,9.885961
6,1.16E-07,-5.99E-09,-6.05E-09,6.78E-05,0.00131336,6.84E-05,-17.58,30.96,-40.5,0.05506832,-0.2083019,9.847652
7,0,0,0,-0.000543059,-0.000519235,-0.000542448,-17.52,31.26,-40.559998,0.07901107,-0.20111908,9.8548355
8,0,0,0,6.78E-05,9.16E-05,-0.000542448,-18.06,31.619999,-39.899998,0.07422252,-0.21069619,9.8548355
9,-2.18E-07,-8.52E-08,-8.59E-09,0.000678671,-0.001740966,6.84E-05,-17.94,32.04,-39.42,0.076616794,-0.2083019,9.840469
10,0,0,0,0.000678671,-0.001130101,6.84E-05,-17.52,31.439999,-39.42,0.08140534,-0.21787901,9.838076
11,0,0,0,6.78E-05,-0.001740966,-0.001153314,-17.16,30.66,-40.079998,0.083799616,-0.21548474,9.835681
12,0,0,0,-0.000543059,0.002535091,0.000679282,-18.06,30.66,-40.44,0.06943397,-0.21787901,9.828498
13,0,0,0,6.78E-05,-0.000519235,0.000679282,-18.119999,31.5,-40.379997,0.076616794,-0.20351335,9.835681
14,0,0,0,6.78E-05,0.00131336,-0.000542448,-17.22,31.859999,-40.26,0.023942748,-0.22027329,9.852441
15,0,0,0,6.78E-05,0.001924226,-0.000542448,-16.98,31.26,-40.44,0.083799616,-0.20590763,9.838076
16,0,0,0,-0.000543059,0.000702495,6.84E-05,-17.16,31.32,-40.62,0.062251143,-0.22266756,9.847652
17,0,0,0,6.78E-05,-0.001130101,-0.001764179,-17.1,31.56,-40.32,0.06464542,-0.19393626,9.859624
18,0,0,0,0.000678671,-0.001740966,-0.001153314,-17.1,31.56,-40.379997,0.09337672,-0.19393626,9.852441
19,1.62E-07,-8.38E-09,-1.60E-07,6.78E-05,0.00131336,0.001290147,-17.279999,31.38,-40.5,0.06943397,-0.2083019,9.842864
20,0,0,0,6.78E-05,9.16E-05,6.84E-05,-17.279999,31.199999,-40.02,0.07901107,-0.21309046,9.893144
21,0,0,0,0.000678671,-0.002351831,-0.000542448,-17.52,31.26,-39.3,0.076616794,-0.20111908,9.862018
22,0,0,0,0.001289537,9.16E-05,0.000679282,-17.52,31.32,-39.6,0.07422252,-0.20590763,9.842864
23,0,0,0,6.78E-05,0.00131336,0.001901013,-17.94,31.14,-40.079998,0.06943397,-0.21787901,9.857229
24,0,0,0,-0.000543059,0.000702495,6.84E-05,-17.4,31.08,-40.26,0.031125572,-0.19633053,9.862018
25,-1.08E-07,-6.49E-08,5.19E-08,0.000678671,-0.001130101,-0.000542448,-17.1,31.019999,-39.899998,0.08858817,-0.21069619,9.8548355
26,0,0,0,6.78E-05,-0.001740966,0.001290147,-17.699999,31.14,-39.719997,0.083799616,-0.23224466,9.871595
27,0,0,0,-0.000543059,-0.003573562,-0.001153314,-18.119999,31.56,-39.899998,0.05506832,-0.20351335,9.847652
28,0,0,0,6.78E-05,9.16E-05,6.84E-05,-18,31.38,-39.719997,0.076616794,-0.18675344,9.859624
