,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,0,0,0,0.000294437,0.000189979,-0.000676839,9.24,18.18,11.639999,-0.09577099,-0.016759925,9.727939
2,-1.10E-07,6.24E-08,4.55E-08,-0.000927293,-0.001642617,-0.000676839,9.179999,18.42,11.639999,-0.090982445,-0.009577099,9.742304
3,2.74E-08,1.08E-08,-1.86E-08,-0.000316428,0.000800844,0.000544892,9.179999,18.6,12.12,-0.076616794,0.009577099,9.708784
4,0,0,0,0.000294437,0.000800844,0.000544892,9.179999,18.359999,12.36,-0.08858817,-0.021548472,9.72315
5,4.13E-09,-6.40E-09,-1.18E-08,0.000294437,0.000189979,0.000544892,8.94,18.3,12.54,-0.10774237,-0.009577099,9.718362
6,-1.70E-08,-3.66E-08,2.74E-08,0.000905302,-0.000420886,-0.000676839,8.5199995,18.72,12.48,-0.08619389,-0.011971374,9.730332
7,0,0,0,0.000294437,-0.001031751,0.000544892,8.82,18.9,12.9,-0.10055954,-0.002394275,9.735122
8,0,0,0,-0.000316428,0.000189979,-0.000676839,8.82,18.3,13.259999,-0.083799616,0.009577099,9.715967
9,3.86E-08,-1.42E-08,-5.57E-08,0.000294437,0.000800844,0.001155757,9,18.119999,12.9,-0.076616794,-0.011971374,9.751882
10,0,0,0,-0.000316428,0.000189979,-0.000676839,9.599999,18.84,12.179999,-0.09577099,-0.007182824,9.730332
11,0,0,0,0.000294437,0.000189979,0.000544892,9.12,19.439999,12.24,-0.083799616,0.007182824,9.732727
12,-9.93E-08,-1.78E-08,4.09E-08,0.000294437,-0.001642617,-0.000676839,9,19.26,12.599999,-0.10055954,0.007182824,9.72315
13,0,0,0,-0.000316428,0.000189979,-6.60E-05,8.5199995,19.02,12.78,-0.11492519,0.002394275,9.730332
14,0,0,0,0.000294437,0.000800844,-6.60E-05,9.12,18.18,12.54,-0.08140534,0,9.718362
15,6.86E-08,1.54E-08,3.21E-09,-0.000316428,0.00141171,-6.60E-05,9.12,17.82,12.42,-0.07901107,-0.002394275,9.737515
16,0,0,0,0.000905302,0.000800844,-0.001287704,9.36,17.82,12.12,-0.102953814,-0.016759925,9.725544
17,0,0,0,0.000905302,0.000189979,0.000544892,9.3,18.42,11.34,-0.090982445,-0.011971374,9.751882
18,7.70E-09,-1.19E-08,-4.68E-08,0.000294437,0.000189979,0.001155757,8.58,18.539999,11.34,-0.08140534,-0.014365649,9.751882
19,-2.45E-08,8.94E-08,3.93E-08,-0.001538159,-0.000420886,-0.000676839,8.4,18.779999,11.88,-0.07901107,0,9.751882
20,0,0,0,-0.001538159,-0.001031751,-6.60E-05,9,18.6,11.759999,-0.08140534,-0.00478855,9.730332
21,6.85E-08,-1.82E-07,-9.89E-08,0.002127033,0.000800844,0.001155757,9.179999,18.72,11.639999,-0.09337672,-0.00478855,9.73991
22,7.73E-09,1.29E-08,-4.71E-08,-0.000316428,0.000189979,0.001155757,8.7,17.82,12.84,-0.08619389,0.00478855,9.732727
23,0,0,0,-0.000927293,-0.001031751,-0.000676839,8.22,17.82,13.679999,-0.09337672,-0.007182824,9.744699
24,-4.17E-08,-1.19E-08,-2.20E-08,0.000294437,-0.001031751,0.000544892,8.7,17.58,12.719999,-0.10774237,-0.007182824,9.727939
25,-1.41E-08,-3.04E-08,2.21E-09,0.000905302,-0.000420886,-6.60E-05,9.3,17.94,12.48,-0.07422252,0,9.725544
26,0,0,0,0.001516168,0.000800844,0.000544892,9.179999,18.24,12.599999,-0.08858817,-0.019154198,9.732727
27,0,0,0,-0.000927293,0.000189979,-0.000676839,9.12,18.48,11.219999,-0.08619389,-0.007182824,9.725544
