,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,-0.01866279,0.007294308,-0.001794827,-0.19804373,-0.5080603,0.050695095,-53.94,40.02,17.1,1.2330515,-9.711179,0.18435916
2,0,0,0,-0.11863126,-0.6119074,0.117890276,-54.899998,40.02,17.039999,1.9202085,-9.550762,1.3886794
3,0.003781277,0.006053522,0.006150437,-0.24019344,0.15106331,-0.24496369,-54.719997,40.02,17.94,-1.1731946,-10.082292,0.5147691
4,0,0,0,-0.08686626,-0.53982526,0.11361422,-54.84,40.379997,18.66,1.776552,-9.636956,0.9241901
5,0.00223682,0.001961062,0.002214793,-0.124129035,0.14190033,-0.14050572,-55.02,40.26,18.6,0.9074302,-10.113417,-0.15562786
6,0,0,0,-0.13084856,-0.027309341,-0.058038916,-54.78,39.78,18.779999,0.54350036,-9.794978,0.028731298
7,-0.003287747,0.00277348,0.00012924,-0.16322441,-0.1934647,-0.007337102,-53.699997,39.36,18.66,0.8236305,-9.883567,0.20351335
8,0,0,0,-0.16322441,-0.22339708,0.03969952,-54.539997,40.14,19.199999,1.0582695,-9.708784,0.25858167
9,0,0,0,-0.14856364,-0.25210777,0.06841019,-54.96,40.44,19.56,0.9433443,-9.754275,0.08140534
10,0,0,0,-0.13329202,-0.3693939,0.150877,-56.34,40.379997,20.279999,0.9337672,-9.881172,-0.2561874
11,-0.022822438,0.007261792,-0.006993719,-0.17544173,-0.55815125,0.17286815,-55.8,40.2,21.3,1.1444633,-10.158908,-0.409421
12,0,0,0,-0.20598498,-0.59480315,0.1753116,-55.379997,39.84,20.52,1.1875603,-10.33369,-0.49082634
13,-0.02884595,0.012276244,-0.009212041,-0.25913024,-0.6167943,0.20035708,-54.539997,38.76,20.279999,0.95531565,-9.9889145,-0.600963
14,0,0,0,-0.2707367,-0.71453273,0.23273294,-54.36,39.54,21.42,0.7350424,-9.885961,-0.56265455
15,0,0,0,-0.25790855,-0.74141085,0.2510589,-54.12,39.48,21.6,0.5411061,-9.682447,-0.6344828
16,0,0,0,-0.26829323,-0.77500844,0.28099132,-53.64,39.66,22.619999,0.76616794,-9.636956,-0.888276
17,-0.040055722,0.012592408,-0.010862189,-0.22919786,-0.7432434,0.20585488,-53.64,40.2,22.98,1.0247496,-9.4932995,-0.6177229
18,0,0,0,-0.12168558,-1.261868,0.19852449,-53.1,39.78,23.039999,1.3288225,-9.696813,-1.4437478
