,roll,pitch,yaw,x,y,z,x,y,z,x,y,z
1,-3.30E-05,-1.68E-06,3.27E-07,0.001598747,-0.031345952,-0.000310207,10.0352955,-7.6541367,-45.043114,-1.1084677,7.084138,6.686718
2,-1.05E-05,9.09E-05,-4.81E-06,-0.051851913,-0.005995066,0.002744117,7.5570707,-6.9885864,-44.84999,-1.1036795,7.0649853,6.8758516
3,0,0,0,-0.011534844,-0.00904939,-0.007029719,8.287271,-5.9648247,-44.87522,-1.1731083,6.9764037,6.9979506
4,0,0,0,0.021757282,0.018439524,-4.77E-06,8.90365,-6.904497,-44.57393,-1.1850789,7.0218916,6.760935
5,4.63E-07,1.35E-06,3.28E-06,-0.003899035,0.001335311,-0.009473178,8.173,-7.9254284,-44.07971,-1.1419852,7.0434384,6.7226295
6,0,0,0,-0.009396818,0.005611364,-0.001531936,8.2028055,-7.4430733,-45.56831,-1.2209904,6.981192,6.765723
7,0,0,0,-0.036274865,-0.000191851,0.014045115,9.697825,-7.669964,-44.25231,-1.1084677,7.0171037,6.792058
8,1.60E-05,1.80E-05,-5.85E-06,-0.019781519,0.017523225,0.006409305,9.97057,-5.8601837,-44.608307,-1.2162021,7.0003443,6.93331
9,0,0,0,-0.016421761,0.011414578,0.02656784,9.8398,-5.2137737,-44.347805,-1.1348027,7.13202,6.808817
10,0,0,0,0.006485665,-0.006300498,-0.028104551,9.72688,-7.182884,-44.959267,-1.1348027,6.988374,6.8255754
11,6.39E-06,2.01E-05,6.03E-06,-0.023446707,0.007443958,-0.007029719,9.286045,-6.054823,-42.89528,-1.1036795,7.0218916,6.8495164
12,0,0,0,-0.01764349,-0.014852604,-0.008251448,11.13022,-6.116129,-44.690132,-1.2305667,6.938098,6.8231816
13,0,0,0,-0.03444227,-0.029513357,-0.04643049,8.0614,-6.9530373,-44.08206,-1.2497195,7.0147095,6.736994
14,-5.60E-05,9.03E-05,0.000122601,-0.03871832,-0.024015576,-0.05253914,9.904075,-7.0048923,-44.31362,-1.1970494,6.9261274,6.9979506
15,0,0,0,0.010150854,0.0050005,-0.036351226,10.288421,-6.1675034,-44.66726,-1.067768,6.9452806,6.93331
16,0,0,0,0.05046793,0.021188414,-0.001226504,9.24112,-6.888672,-45.36473,-1.1563498,7.0625916,6.7250233
17,7.99E-06,3.92E-06,-3.27E-06,-0.006953359,0.01416347,0.005798441,8.522276,-4.8107834,-45.330814,-1.2018377,6.959645,6.78727
18,0,0,0,-0.000233847,0.000724446,0.00182782,9.97057,-5.8601837,-44.608307,-1.2521136,6.959645,6.8758516
19,0,0,0,0.014426908,-0.007216795,0.009158197,8.9032,-6.901663,-44.10494,-1.2090199,7.002739,6.9476743
20,-7.04E-05,-8.99E-05,-5.97E-06,0.045886442,-0.035927437,0.00304955,9.54097,-4.5795307,-44.395386,-1.1755025,7.029074,6.7465706
21,0,0,0,0.11583045,-0.07227389,-0.03574036,10.745126,-6.9487934,-43.554844,-1.2760546,6.890216,6.691506
22,0,0,0,-0.037496597,0.019661253,0.008547333,8.726305,-7.081545,-45.063244,-1.259296,7.0865326,6.543072
23,3.10E-07,0.000221221,-7.48E-06,-0.08117342,0.000113581,0.002744117,8.399621,-6.9419365,-45.654514,-1.1228323,6.983586,6.9261274
24,0,0,0,0.031531118,-0.037454598,-0.021079607,8.772731,-6.257143,-44.157093,-1.2185962,6.9931626,6.7346
25,-4.17E-06,9.28E-05,-2.19E-05,-0.051851913,-0.002329878,0.01221252,10.194821,-7.8115788,-45.69791,-1.2162021,7.005133,6.866275
26,0,0,0,-0.061014883,0.009276552,0.011907087,8.726755,-7.084379,-45.532234,-1.1300147,7.009921,6.9931626
27,0,0,0,0.013510609,0.003473338,-0.007640583,9.745749,-6.855013,-44.909462,-1.1778966,6.9644337,6.741782
28,3.83E-05,8.08E-05,-2.09E-05,-0.0460487,0.02179928,0.011907089,10.111225,-6.3454914,-45.312904,-1.2497195,6.909369,6.866275
29,0,0,0,-0.04482697,0.026380764,0.021375492,10.7463255,-6.956354,-44.805485,-1.1898671,6.9500685,6.9955564
30,0,0,0,0.00709653,-0.01424174,-0.010694907,9.857651,-7.829294,-45.21977,-1.0749503,7.053015,6.7561464
31,9.76E-06,3.91E-05,-4.63E-06,-0.033525974,0.008360256,0.003965846,9.287545,-6.064272,-44.45858,-1.2233845,6.959645,6.928522
32,0,0,0,-0.014589168,0.002862472,0.008852764,8.4736,-5.62101,-43.892014,-1.1300147,6.962039,7.0147095
33,0,0,0,0.02908766,0.016912362,0.00182782,10.06435,-7.167057,-45.750065,-1.1994435,6.988374,6.667565
34,-4.00E-07,1.84E-05,5.90E-06,-0.022835841,-0.000497283,-0.007335151,8.950376,-6.0819874,-43.98044,-1.1731083,6.9692216,6.6986885
35,0,0,0,-0.040856354,0.004695067,-0.00458626,8.0611,-6.951147,-43.769405,-1.1922611,6.938098,6.911763
36,0,0,0,-0.003899035,0.007443958,0.006714738,9.109451,-6.2365932,-44.166245,-1.1898671,6.9907684,6.904581
37,4.82E-06,2.70E-06,2.18E-06,-0.006037062,0.010803714,-0.004891692,9.447371,-6.223604,-45.426033,-1.2018377,6.9428864,6.8064227
